email,first_name,last_name,biography,street,city,postcode,longitude,latitude
claude@simonis.name,Melissa,Ellis,Financial Times journal best-selling author who inspires and empowers people to create best results for their business.,26 Talbot Rd,london,E6 2RZ,0.06032,51.53136
erasmo.moen@kohler-oconner.com,Diane,Ross,Communicator. Alcohol buff. Certified music fanatic. Internet scholar. Wannabe bacon specialist.,3 Anthems Way,london,E20 1JZ,-0.0919983,51.5156177
karol_gusikowski@lakin.com,April,Smith,Social media scholar. Award-winning twitteraholic. Bacon ninja. Thinker. Zombie maven.,206 Westmount Rd,london,SE9 1XQ,0.05799,51.46145
carley@kassulke.name,Derek,Baker,Travel guru. Entrepreneur. Music geek. Social media practitioner. Twitter expert. Wannabe explorer. Bacon fanatic. Zombie aficionado.,28-30 Bethnal Green Rd,london,E1 6JY,-0.1276474,51.5073219
kyra.yost@abshire.net,Kelly ,Oneal,Creator. Subtly charming coffee scholar. Twitter nerd. Student. Gamer. Musicaholic. Travel fanatic. Devoted problem solver. Food junkie.,2 Mintern Cl,london,N13 5SX,-0.1276474,51.5073219
elliot@hammes-price.info,Austin,Brown,Tv guru. Alcohol evangelist. Problem solver. Amateur student. Introvert. Zombie scholar.,2 Collinson St,london,SE1 1QE,-0.1276474,51.5073219
kurtis_carter@reichel.org,Thomas,Ramirez,Lifelong travel evangelist. Incurable alcohol fanatic. Music guru. Pop culture aficionado.,St George's Garden,london,SE1 8HZ,-0.1276474,51.5073219
anthony@emmerich.com,Lisa,Martinez,Infuriatingly humble alcohol evangelist. Extreme reader. Social media nerd. Web trailblazer.,11 Crofton Grove,london,E4 6NY,0.0028,51.61559
bertram@larkin.biz,Tony ,Barnes,Devoted zombie enthusiast. General communicator. Tv expert. Gamer. Travel evangelist. Food scholar.,116 Studley Grange Rd,london,W7 2LT,-0.338523433,51.50275587
armanda@ratke-deckow.name,Melissa,Walker,General tv fan. Hardcore social media guru. Writer. Organizer. Pop culture geek.,129 Ferndale Rd,london,SW4 7RN,-0.1276474,51.5073219
wilbert.ryan@stanton.com,Robert,Brown,Food fan. Tv guru. Subtly charming music scholar. Social media advocate. Bacon lover. Certified troublemaker. Webaholic. Coffee practitioner. Internet nerd.,The Alexander P H,london,E9 7TP,-0.1276474,51.5073219
marguerite.hansen@wyman.co,Sara,Le,Wannabe student. Beer lover. Tv fanatic. Social media expert. Infuriatingly humble pop culture buff.,2 Hodnet Grove,london,SE16 2PA,-0.1276474,51.5073219
emmett.rath@klocko.org,Christina ,Hampton,Communicator. Bacon fan. Twitter evangelist. Analyst. Entrepreneur. Lifelong troublemaker. Gamer. Reader. Zombie lover.,3 Carlyle Cl,london,N2 0QU,-0.1276474,51.5073219
arline@hermann.org,Alexa,Johnson,Bacon fan. Web expert. Travel buff. Amateur pop culture advocate. Alcohol enthusiast.,1 Battersea Rise,london,SW11 5SH,-0.1276474,51.5073219
carma.fahey@parisian.co,Lauren,Wilson,Unable to type with boxing gloves on. Beer enthusiast. General pop culture advocate. Reader.,18 Cheviot Gardens,london,NW2 1QH,-0.1276474,51.5073219
leila.rutherford@labadie-auer.com,Joseph,Bryan,Alcoholaholic. Web advocate. Entrepreneur. Zombie enthusiast. Student. Explorer. Certified communicator. Total music specialist. Beer ninja.,65 Milford Cl,london,SE2 0DS,0.13507,51.48091
corey.price@upton-corkery.io,Jasmine,Morris,Communicator. Hardcore food aficionado. Tv expert. Social media geek. Bacon specialist. Avid music practitioner.,2 Ordnance Rd,london,SE18 3SG,0.06072,51.47901
aleta_schmidt@jast-heaney.biz,Sydney,Burton,Social media guru. Tv trailblazer. Zombie expert. Introvert. Web ninja. Beer fanatic. Internet buff.,34 Warwick Grove,london,E5 9HU,-0.1276474,51.5073219
